Start,End
1667368824.929531,1667368825.4803123
1667368825.5310936,1667368825.6443748
1667368831.4217186,1667368832.4881248
1576665277.3432498,1576665278.4448123
1576665279.3198123,1576665281.0151248
1576665281.9330935,1576665283.8862185
1576665286.4760623,1576665286.940906
1576665287.0776248,1576665287.4018435
1576665290.2182498,1576665292.128406
1576665297.847156,1576665297.9994998
1576665300.1830935,1576665301.0268435
1576665302.8237185,1576665303.7963748
1667377142.6912498,1667377143.9685936
1667377146.101406,1667377147.2068748
1667377149.8787498,1667377150.9646873
1667377156.1990623,1667377157.6053123
1667377159.9099998,1667377161.3162498
1667377163.679531,1667377165.2146873
1667377166.8318748,1667377167.8435936
1667377170.867031,1667377172.0310936
1576573092.5580935,1576573094.0268435
1576573098.409656,1576573099.7768435
1576573099.7807498,1576573099.8041873
1576573103.5776248,1576573105.0151248
1576573110.409656,1576573111.550281
1576573112.550281,1576573113.940906
1576573115.6401248,1576573116.5932498
1658308826.3651876,1658308827.4081564
1658308830.8730001,1658308831.462844
1658308833.962844,1658308834.5800314
1658308839.7870626,1658308840.8651876
1658308842.8495626,1658308843.5683126
1658308848.8495626,1658308850.4823751
1667382664.335781,1667382665.210781
1667382666.445156,1667382667.6209373
1667382668.5271873,1667382670.6756248
1667382672.3709373,1667382674.0271873
1667382676.0935936,1667382677.9646873
1576666028.0854373,1576666029.550281
1576666035.3276248,1576666036.4135623
1576666039.6518435,1576666040.5151248
1576666040.6869998,1576666041.6244998
1576666041.6635623,1576666041.6869998
1576666044.1869998,1576666045.815906
1576666048.6088748,1576666050.394031
1576666052.2416873,1576666054.112781
1658300492.4394064,1658300493.587844
1658300500.4862814,1658300501.3769064
1658300504.1933126,1658300505.0214376
1658303054.0761251,1658303054.2519064
1576648425.6010623,1576648426.878406
1576648431.0229373,1576648432.409656
1576648443.5073123,1576648444.628406
1576562350.2338748,1576562350.9643435
1576562354.4643435,1576562355.3041873
1576562357.987781,1576562358.1166873
1576562362.4604373,1576562363.4916873
1576562373.9643435,1576562374.7026248
1576567899.331531,1576567900.456531
1576567901.1869998,1576567902.1713748
1576567905.675281,1576567907.4682498
1576567910.3666873,1576567911.2338748
1576567915.0776248,1576567915.628406
1576567924.4291873,1576567924.9213748
1576567924.9369998,1576567925.7612185
1683265041.3315625,1683265042.2065625
1683265052.1557813,1683265053.105
1683265059.3667188,1683265060.6635938
1683265064.3120313,1683265064.5385938
1683265065.7260938,1683265066.3159375
1667376397.3631248,1667376398.5115623
1667376400.4881248,1667376401.8474998
1667376403.6560936,1667376405.2771873
1667376413.3123436,1667376414.4959373
1667376418.3943748,1667376419.2224998
1667369799.6209373,1667369800.460781
1667369817.101406,1667369818.1053123
1667369820.6209373,1667369821.3865623
1576581006.7963748,1576581007.5229373
1576581012.8588748,1576581013.7963748
1576581019.6830935,1576581021.5385623
1576581025.8080935,1576581026.7455935
1576581026.8354373,1576581026.847156
1576581030.4526248,1576581031.7494998
1576558928.5385623,1576558929.815906
1576558933.3549685,1576558933.878406
1576558940.0932498,1576558941.5385623
1576558955.4135623,1576558956.5932498
1667366882.7342186,1667366883.788906
1667366884.3748436,1667366885.1990623
1667366888.038906,1667366889.5037498
1667366890.2654686,1667366891.4256248
1667366892.132656,1667366893.8709373
1667366896.5037498,1667366897.4842186
1667366902.679531,1667366903.6287498
1667366909.5623436,1667366910.7029686
1576574797.9994998,1576574799.284656
1576574803.4526248,1576574804.628406
1576574812.0854373,1576574813.2651248
1576574816.4994998,1576574817.6401248
1576574823.4916873,1576574824.8549685
1576561178.0580935,1576561179.690906
1576561181.0737185,1576561182.4174685
1576561183.565906,1576561184.3432498
1576561186.6869998,1576561187.6635623
1576561189.6674685,1576561190.4799685
1576561199.8198123,1576561200.097156
1576561203.8666873,1576561204.7963748
1576575157.940906,1576575159.4330935
1576575167.2924685,1576575168.6518435
1576575172.8588748,1576575173.815906
1576575180.550281,1576575181.7299685
1576575185.6830935,1576575186.5932498
1667385878.6599998,1667385879.6092186
1667385880.0935936,1667385880.7810936
1667385882.3592186,1667385884.2771873
1667385884.679531,1667385885.320156
1667385887.288906,1667385887.788906
1667385887.8904686,1667385888.898281
1667385892.1990623,1667385893.1404686
1667385897.6912498,1667385899.4217186
1667385900.476406,1667385901.773281
1658315303.2558126,1658315303.9667501
1658315310.2675314,1658315310.337844
1658315311.1581564,1658315312.2362814
1658315313.322219,1658315313.8964376
1658315314.0136251,1658315314.978469
1658315315.775344,1658315315.8417501
1658315315.8964376,1658315316.7362814
1658315324.0136251,1658315324.4980001
1658315325.009719,1658315325.603469
1658315329.0448751,1658315329.6269064
1576572487.3862185,1576572487.5932498
1576572488.1401248,1576572488.4916873
1576572502.4643435,1576572503.2768435
1576572507.597156,1576572509.190906
1576572514.6166873,1576572514.7104373
1576572514.7729373,1576572514.8119998
1576572514.8237185,1576572515.9174685
1576575936.7963748,1576575938.081531
1576575941.9174685,1576575942.5463748
1576575943.472156,1576575944.9448123
1576575965.6010623,1576575966.5112185
1667379632.6912498,1667379633.929531
1667379636.163906,1667379637.5974998
1667379639.4021873,1667379641.398281
1667379642.4021873,1667379643.6209373
1667379650.8123436,1667379652.0428123
1667379656.4412498,1667379656.9842186
1667379658.554531,1667379659.7303123
1667383502.6912498,1667383503.9021873
1667383505.4998436,1667383506.7498436
1667383507.304531,1667383508.179531
1667383509.9568748,1667383511.8474998
1667383514.3318748,1667383515.6443748
1667383518.3435936,1667383519.351406
1576575850.7651248,1576575851.5307498
1576575853.3510623,1576575854.7104373
1576575860.112781,1576575861.128406
1576575869.0932498,1576575870.1674685
1576575872.1987185,1576575874.0698123
1576575875.1674685,1576575876.5932498
1576578697.1010623,1576578698.581531
1576578704.5151248,1576578705.425281
1576578708.4643435,1576578709.7104373
1576578713.2573123,1576578714.6205935
1576578716.9799685,1576578718.6088748
1576578720.472156,1576578721.1205935
1667377503.9334373,1667377504.9334373
1667377506.4724998,1667377507.445156
1667377509.038906,1667377510.8553123
1667377511.8943748,1667377513.2303123
1667377517.1053123,1667377517.8553123
1667377520.4334373,1667377521.117031
1667377524.8123436,1667377526.1092186
1667377529.913906,1667377530.9021873
1667381649.8865623,1667381651.5779686
1667381653.476406,1667381654.179531
1667381656.9685936,1667381658.0349998
1667381666.2498436,1667381667.2967186
1576578848.3119998,1576578848.909656
1576578856.1049685,1576578857.5307498
1576578861.3862185,1576578862.862781
1576578864.9682498,1576578866.2963748
1576558995.6323123,1576558996.659656
1576558997.4526248,1576558998.5151248
1576558999.409656,1576559000.4487185
1576559006.6557498,1576559007.4799685
1576559013.9487185,1576559015.206531
1576566789.3744998,1576566790.0893435
1576566790.175281,1576566791.6088748
1576566795.4955935,1576566796.1088748
1576566797.1323123,1576566798.4369998
1576566800.3979373,1576566801.6479373
1576566801.675281,1576566801.784656
1576566804.331531,1576566804.472156
1576566806.7651248,1576566807.9018435
1576566810.847156,1576566811.8901248
1576563187.1518435,1576563187.972156
1576563192.4838748,1576563194.1674685
1576563197.394031,1576563198.9174685
1576563201.4526248,1576563202.8901248
1576652558.8705935,1576652560.1869998
1576652562.7299685,1576652564.0541873
1576652568.3354373,1576652568.5580935
1576652568.9291873,1576652569.5776248
1576652570.3354373,1576652570.909656
1576652571.0112185,1576652571.065906
1576652576.4213748,1576652576.9526248
1576652580.675281,1576652581.7729373
1658310904.494094,1658310905.6620626
1658310907.3612814,1658310907.8495626
1658310915.9862814,1658310917.822219
1658310920.806594,1658310921.525344
1658308523.915969,1658308524.7401876
1658308534.7558126,1658308535.6737814
1658308537.9433126,1658308538.7050314
1658308540.5292501,1658308541.0487814
1658308541.3456564,1658308541.6698751
1658308542.0331564,1658308543.1894064
1658308551.915969,1658308552.322219
1683346040.245625,1683346041.1167188
1683346045.9214063,1683346046.605
1683346051.01125,1683346052.0073438
1683346054.1323438,1683346054.6948438
1683346066.1635938,1683346067.1479688
1576575667.6205935,1576575669.0424685
1576575671.0463748,1576575671.6244998
1576575673.4526248,1576575674.9448123
1576575679.8979373,1576575681.3744998
1576575688.8705935,1576575689.722156
1576575694.8666873,1576575695.706531
1576665667.2299685,1576665668.4955935
1576665674.3744998,1576665675.4916873
1576665680.6205935,1576665682.0112185
1576665685.1557498,1576665686.2924685
1576665688.581531,1576665689.5932498
1576665689.940906,1576665691.190906
1576665693.0776248,1576665693.1205935
1576665694.7612185,1576665696.0307498
1576650127.644031,1576650128.159656
1576650129.690906,1576650131.159656
1576650141.9330935,1576650142.112781
1576650147.2924685,1576650148.6869998
1576650150.0932498,1576650150.628406
1576650155.3549685,1576650156.5932498
1667375492.742031,1667375494.1053123
1667375496.992031,1667375498.2654686
1667375502.7693748,1667375504.0154686
1667375507.9959373,1667375509.507656
1667375512.085781,1667375513.2928123
1667375517.5271873,1667375518.4021873
1667375520.8279686,1667375521.8709373
1576648661.284656,1576648662.6557498
1576648663.300281,1576648663.3666873
1576648663.4057498,1576648663.4682498
1576648666.0619998,1576648667.0932498
1576648670.847156,1576648671.440906
1576648672.003406,1576648673.0580935
1576648675.956531,1576648677.362781
1576648683.0463748,1576648684.4994998
1667370489.6756248,1667370490.663906
1667370493.9099998,1667370494.413906
1667370498.4178123,1667370499.5623436
1667370499.9334373,1667370501.054531
1667370503.3279686,1667370505.179531
1667370506.6365623,1667370508.7459373
1667370510.2849998,1667370512.0818748
1576559107.8744998,1576559108.8354373
1576559110.3705935,1576559111.456531
1576559115.2182498,1576559116.2143435
1576559117.9330935,1576559119.1323123
1576559120.722156,1576559121.737781
1576559125.269031,1576559126.175281
1576559127.284656,1576559128.0151248
1576559131.6479373,1576559132.3862185
1658301131.478469,1658301131.4862814
1658301131.5839376,1658301131.603469
1658301142.337844,1658301143.0370626
1667374502.8943748,1667374504.2693748
1667374505.007656,1667374505.882656
1667374522.2537498,1667374523.5115623
1667374528.742031,1667374528.929531
1667368684.0818748,1667368684.7459373
1667368688.3631248,1667368688.9568748
1667368691.7771873,1667368693.0935936
1667368696.5467186,1667368697.3396873
1667368699.8006248,1667368700.1912498
1667368701.5271873,1667368702.6053123
1667368704.7224998,1667368706.1365623
1667368708.4803123,1667368709.445156
1683281513.6010938,1683281514.3159375
1683281515.3471875,1683281515.94875
1683281526.4253125,1683281527.57375
1683281528.7846875,1683281529.4214063
1683281534.1167188,1683281535.401875
1667382094.1599998,1667382094.976406
1667382100.4998436,1667382101.0115623
1667382103.2185936,1667382103.7615623
1667382106.5896873,1667382108.1521873
1667382110.8631248,1667382112.6599998
1667382114.4842186,1667382115.9998436
1667382118.867031,1667382120.5428123
1667382121.8084373,1667382122.4881248
1683271790.605,1683271791.6479688
1683271800.51125,1683271801.370625
1683271805.8315625,1683271806.6948438
1658295444.415969,1658295445.494094
1658295452.4980001,1658295453.6269064
1658295460.7401876,1658295461.2948751
1658295464.1308126,1658295465.5839376
1658295468.0644064,1658295469.290969
1576566850.472156,1576566850.940906
1576566852.3119998,1576566853.9448123
1576566856.315906,1576566856.7768435
1576566856.8119998,1576566856.9291873
1576566861.6987185,1576566863.6362185
1576566867.3393435,1576566868.8588748
1576566871.6830935,1576566872.9369998
1576566873.878406,1576566874.6205935
1667379512.9842186,1667379514.3865623
1667379520.1092186,1667379521.8748436
1667379523.4881248,1667379524.273281
1667379525.007656,1667379526.648281
1667379528.038906,1667379528.867031
1667379529.5623436,1667379530.5584373
1667379533.0037498,1667379534.6834373
1667379536.7342186,1667379537.695156
1683350432.839375,1683350433.589375
1683350442.3042188,1683350443.183125
1683350444.870625,1683350445.3471875
1667381944.3396873,1667381946.0974998
1667381950.9490623,1667381952.8123436
1667381958.2224998,1667381958.9803123
1667381959.507656,1667381960.4881248
1667381961.3240623,1667381962.8123436
1667381967.0506248,1667381967.7615623
1667381969.4490623,1667381971.0779686
1667377983.804531,1667377983.8709373
1667377983.898281,1667377984.5310936
1667377988.3318748,1667377989.7303123
1667377993.038906,1667377994.8709373
1667377995.7146873,1667377996.8318748
1667378002.0974998,1667378003.3318748
1667378006.1990623,1667378007.1560936
